Title,Time,Artist,Album,Genre,Heart,Plays
In Your Dreams,3:59,Stevie Nicks,In Your Dreams,Rock,0,27
Nothing Ever Changes (Remastered),4:09,Stevie Nicks,The Wild Heart (Remastered),Rock,0,27
coney island (feat. The National),4:35,Taylor Swift,evermore (deluxe version),Alternative,0,27
cowboy like me,4:35,Taylor Swift,evermore (deluxe version),Alternative,0,27
exile (feat. Bon Iver),4:46,Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Alternative,0,27
betty,4:55,Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Alternative,0,27
the last great american dynasty (the long pond studio sessions),3:52,Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Alternative,0,27
You Are In Love,4:27,Taylor Swift,1989 (Deluxe Edition),Pop,0,27
Breakdown,2:42,Tom Petty & The Heartbreakers,Tom Petty & The Heartbreakers,Rock,0,27
blue sky mind,1:27,Trevor Hall,IN AND THROUGH THE BODY (DELUXE EDITION),Alternative,0,27
Days Grow Longer,2:51,Dead Horses,Brady Street,Singer/Songwriter,0,26
Galway Girl,2:51,Ed Sheeran,÷ (Deluxe),Pop,0,26
Ballad Of Sir Frankie Crisp (Let It Roll) [2020 Mix],3:48,George Harrison,All Things Must Pass (50th Anniversary),Rock,0,26
To Noise Making (Sing),3:27,Hozier,"Wasteland, Baby!",Alternative,0,26
Show Yourself,4:21,Idina Menzel & Evan Rachel Wood,Frozen 2 (Original Motion Picture Soundtrack),Soundtrack,0,26
Talking To Strangers,3:11,Maisie Peters,You Signed Up For This (Apple Music Up Next Film Edition),Pop,0,26
Let's Go,4:44,Meg Hutchinson,Beyond That,Singer/Songwriter,0,26
Heavenfaced,4:23,The National,Trouble Will Find Me,Alternative,0,26
Sable on Blond (Remastered),4:15,Stevie Nicks,The Wild Heart (Remastered),Rock,0,26
closure,3:01,Taylor Swift,evermore (deluxe version),Alternative,0,26
Begin Again (Taylor's Version),3:59,Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0,26
I Know Places,3:16,Taylor Swift,1989 (Deluxe Edition),Pop,0,26
Runnin' Down a Dream,4:51,Tom Petty,Full Moon Fever,Rock,0,26
Alright for Now,2:00,Tom Petty,Full Moon Fever,Rock,0,26
The Dark of the Sun,3:23,Tom Petty & The Heartbreakers,Into the Great Wide Open,Rock,0,26
The Damage You've Done,3:53,Tom Petty & The Heartbreakers,Let Me Up (I've Had Enough),Rock,0,26
It'll All Work Out,3:11,Tom Petty & The Heartbreakers,Let Me Up (I've Had Enough),Rock,0,26
Ain't Love Strange,2:38,Tom Petty & The Heartbreakers,Let Me Up (I've Had Enough),Rock,0,26
Southern Accents,4:46,Tom Petty & The Heartbreakers,Southern Accents,Rock,0,26
Listen to Her Heart,3:01,Tom Petty & The Heartbreakers,You're Gonna Get It!,Rock,0,26
Soft Skeletons,4:09,Anberlin,New Surrender,Alternative,0,25
Porch Songs,3:59,Chris Pureka,Driving North,Singer/Songwriter,0,25
Make Them Gold,3:52,CHVRCHES,Every Open Eye,Alternative,0,25
Castle on the Hill,4:21,Ed Sheeran,÷ (Deluxe),Pop,0,25
Perfect,4:23,Ed Sheeran,÷ (Deluxe),Pop,0,25
Crystal (Early Version),4:05,Fleetwood Mac,Fleetwood Mac (Deluxe),Rock,0,25
Little Lies,3:39,Fleetwood Mac,The Very Best of Fleetwood Mac (Remastered),Rock,0,25
Any Road,3:52,George Harrison,Brainwashed,Pop,0,25
Just For Tonight,3:37,James Bay,Electric Light,Alternative,0,25
Safe,4:30,Meg Hutchinson,Beyond That,Singer/Songwriter,0,25
Happiness (Piano Instrumental),5:02,Minnz Piano,"Evermore: Piano Instrumentals, Vol. 2",Pop,0,25
August (Piano Instrumental),3:30,Minnz Piano,"Folklore: Piano Instrumentals, Vol. 1",Pop,0,25
For What It's Worth,4:32,Stevie Nicks,In Your Dreams,Rock,0,25
Breathe (Taylor’s Version) [feat. Colbie Caillat],4:23,Taylor Swift,Fearless (Taylor's Version),Country,0,25
